Brand,Model,CPU,RAM (GB),Storage (GB),GPU,Purpose,Price ($),Screen (in),OS,Weight (kg),Battery Life (hrs),Release Year,Color
MSI,Creator 15,Intel i9,32,1000,NVIDIA RTX 3070,Content Creation,2499,15.6,Windows 11,1.2,12,2024,Platinum Silver
Acer,Nitro 5,Intel i7,16,512,NVIDIA GTX 1650,Gaming,1099,15.6,Windows 11,1.4,13,2024,Storm Gray
Gigabyte,Aorus 15G,Intel i7,32,1000,NVIDIA RTX 3070,Gaming/Workstation,2199,15.6,Windows 11,1.8,7,2024,Carbon Gray
Dell,Alienware X17,Intel i9,32,1000,NVIDIA RTX 3080,Gaming/Workstation,2799,17.3,Windows 11,1.3,18,2024,Starlight
HP,Pavilion x360 14,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1399,14,Windows 11,2.1,6,2024,Phantom Black
ASUS,ROG Flow Z13,Intel i7,16,512,NVIDIA RTX 3050,Gaming,1899,13.4,Windows 11,2.4,8,2024,Black
Lenovo,Legion Slim 7,AMD Ryzen 9,16,512,NVIDIA RTX 3070,Gaming/Workstation,1799,15.6,Windows 11,1.5,12,2024,Pine Gray
Acer,Swift 5,Intel i7,16,512,Intel Iris Xe,Ultrabook,1699,14,Windows 11,1.3,13,2024,Nightfall Black
MSI,GS66 Stealth,Intel i7,16,512,NVIDIA RTX 3070,Gaming,2299,15.6,Windows 11,2.7,6,2024,Lunar Light
Dell,G15 5510,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1499,15.6,Windows 11,1.6,17,2024,Space Gray
Apple,MacBook Pro 13 M2,Apple M2,8,256,Apple GPU,Lightweight Use,1299,13.3,macOS,1.1,15,2024,Black
Lenovo,ThinkPad L15,Intel i5,8,256,Intel UHD Graphics,Budget,649,15.6,Windows 11,3,5,2024,Black
HP,Elite Dragonfly G3,Intel i5,8,512,Intel Iris Xe,Business,1799,13.3,Windows 11,1.8,8,2024,Black
MSI,GE76 Raider,Intel i9,32,1000,NVIDIA RTX 3080,Gaming/Workstation,2499,17.3,Windows 11,1.9,9,2024,Silver
Gigabyte,G5 AE,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1299,15.6,Windows 11,1.7,8,2024,Black
Apple,MacBook Air M2,Apple M2,16,512,Apple GPU,Student Use,1399,13.6,macOS,1.3,10,2024,Silver
Dell,Latitude 7320,Intel i5,8,512,Intel Iris Xe,Business,1799,13.3,Windows 11,1.8,9,2024,Transparent Silver
Lenovo,Flex 5 14,AMD Ryzen 7,16,512,AMD Radeon Vega,Hybrid Use,1099,14,Windows 11,2.3,7,2024,Carbon Gray
ASUS,TUF Gaming F15,Intel i7,16,512,NVIDIA GTX 1660 Ti,Gaming,1299,15.6,Windows 11,1.5,8,2024,Black
MSI,Alpha 15,AMD Ryzen 7,16,512,AMD Radeon RX 6600M,Gaming,1199,15.6,Windows 11,2,16,2024,Space Gray
Dell,Vostro 14 5000,Intel i5,8,256,Intel UHD Graphics,Budget,849,14,Windows 11,1.7,8,2024,Platinum Gray
Acer,ConceptD 7 Pro,Intel i9,32,1000,NVIDIA RTX 3070,Content Creation,2999,15.6,Windows 11,1.6,10,2024,Natural Silver
ASUS,ROG Strix Scar 15,Intel i9,32,1000,NVIDIA RTX 3080,Gaming/Workstation,2999,15.6,Windows 11,2.3,6,2024,Bonfire Black
MSI,GE66 Raider,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1699,15.6,Windows 11,2.4,7,2024,Phantom Black
ASUS,VivoBook 15,Intel i5,8,512,Intel Iris Xe,Everyday Use,749,15.6,Windows 11,1.4,8,2024,Silver
HP,Pavilion 15,Intel i7,16,512,Intel Iris Xe,Everyday Use,1199,15.6,Windows 11,1.3,10,2024,Mist Green
Lenovo,ThinkPad L14,Intel i5,8,256,Intel UHD,Budget,749,14,Windows 11,1.3,18,2024,Midnight
Apple,MacBook Pro 13 M2,Apple M2,8,256,Apple GPU,Lightweight Use,1299,13.3,macOS,1.9,7,2024,Black
ASUS,TUF Dash F15,Intel i7,16,512,NVIDIA RTX 3070,Gaming,1799,15.6,Windows 11,1.6,12,2024,Pine Gray
Dell,Inspiron 13 5000,Intel i5,8,256,Intel UHD,Everyday Use,849,13.3,Windows 11,1.8,10,2024,Black
HP,Elite Dragonfly,Intel i5,16,512,Intel Iris Xe,Business,1599,13.3,Windows 11,2.2,6,2024,Black
Lenovo,IdeaPad 3 15,AMD Ryzen 5,8,512,AMD Radeon Vega,Everyday Use,699,15.6,Windows 11,0.9,15,2024,Dragonfly Blue
ASUS,ZenBook Flip 14,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1399,14,Windows 11,1.6,8,2024,Star Black
Acer,Swift 3,AMD Ryzen 5,8,512,Radeon Vega 7,Ultrabook,799,14,Windows 11,1.5,9,2024,Platinum Gray
MSI,GF63 Thin 11SC,Intel i5,8,512,NVIDIA GTX 1650,Gaming,999,15.6,Windows 11,2.8,6,2024,Black
Dell,Latitude 7410 2-in-1,Intel i7,16,512,Intel Iris Xe,Business,1799,14,Windows 11,2.3,7,2024,Black
Lenovo,Legion Y7000,Intel i7,16,512,NVIDIA GTX 1650,Gaming,1199,15.6,Windows 11,1.4,10,2024,Silver
MSI,Stealth GS66,Intel i7,32,512,NVIDIA RTX 3070,Gaming/Workstation,2299,15.6,Windows 11,1.3,12,2024,Nightfall Black
Apple,MacBook Air M2,Apple M2,16,512,Apple GPU,Student Use,1399,13.6,macOS,1.1,13,2024,Pine Gray
HP,Omen 15,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1699,15.6,Windows 11,1.5,8,2024,Silver
Dell,XPS 13 Plus,Intel i7,16,512,Intel Iris Xe,Productivity,1799,13.4,Windows 11,2.2,7,2024,Phantom Black
ASUS,ROG Zephyrus G14,AMD Ryzen 9,16,512,NVIDIA RTX 3060,Gaming,1999,14,Windows 11,2.4,8,2024,Black
Lenovo,ThinkPad X1 Carbon Gen 9,Intel i7,16,512,Intel Iris Xe,Business,2299,14,Windows 11,1.3,18,2024,Midnight
MSI,Creator 17,Intel i9,32,1000,NVIDIA RTX 3070,Content Creation,2499,17.3,Windows 11,2.1,7,2024,Black
Acer,Predator Helios 300,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1799,15.6,Windows 11,1.2,10,2024,Moonlight White
HP,Spectre x360 14,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1899,13.5,Windows 11,2.5,7,2024,Black
ASUS,Vivobook Pro 14,Intel i7,16,512,Intel Iris Xe,Productivity,1199,14,Windows 11,1.5,9,2024,Black
Lenovo,ThinkPad P1 Gen 4,Intel i9,32,1000,NVIDIA RTX 3070,Workstation,2599,15.6,Windows 11,1.2,14,2024,Platinum Silver
Acer,Swift 5,Intel i7,16,512,Intel Iris Xe,Ultrabook,1699,14,Windows 11,1.4,20,2024,Space Gray
MSI,GF65 Thin,Intel i7,16,512,NVIDIA GTX 1660 Ti,Gaming,1299,15.6,Windows 11,1.9,9,2024,Silver
Dell,Alienware X17,Intel i9,32,1000,NVIDIA RTX 3080,Gaming/Workstation,2799,17.3,Windows 11,1.6,8,2024,Transparent Silver
HP,Envy 13,Intel i5,8,256,Intel Iris Xe,Lightweight Use,1099.99,13.3,Windows 11,2.5,6,2024,Black
Lenovo,ThinkPad L15,Intel i5,8,256,Intel UHD,Budget,749,15.6,Windows 11,1.4,12,2024,Storm Gray
ASUS,VivoBook 14,AMD Ryzen 5,8,512,AMD Radeon Vega,Everyday Use,699,14,Windows 11,4.5,4,2024,Lunar Light
MSI,Summit E14,Intel i7,16,512,Intel Iris Xe,Productivity,1599,14,Windows 11,0.99,15,2024,Dragonfly Blue
HP,Omen 16,AMD Ryzen 7,16,512,NVIDIA RTX 3070,Gaming,1799,16.1,Windows 11,1.3,18,2024,Starlight
Dell,XPS 13,Intel i5,8,256,Intel Iris Xe,Productivity,1299,13.4,Windows 11,1.6,10,2024,Eclipse Gray
Lenovo,Yoga 7i 14,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1299,14,Windows 11,2.3,6,2024,Black
ASUS,ROG Flow Z13,Intel i7,16,512,NVIDIA RTX 3050,Gaming/Hybrid,1999,13.4,Windows 11,1.7,8,2024,Black
Acer,Nitro 5,AMD Ryzen 7,16,512,NVIDIA RTX 3060,Gaming,1399,15.6,Windows 11,1.4,10,2024,Platinum Gray
Dell,Inspiron 14 5000,Intel i7,16,512,Intel Iris Xe,Everyday Use,999,14,Windows 11,1.4,10,2024,Silver
HP,Spectre x360 13,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1599,13.3,Windows 11,1.8,12,2024,Pine Gray
MSI,GE76 Raider,Intel i9,32,1000,NVIDIA RTX 3080,Gaming/Workstation,3199,17.3,Windows 11,1.6,12,2024,Natural Silver
Lenovo,ThinkPad X1 Yoga Gen 6,Intel i7,16,512,Intel Iris Xe,Business,1899,14,Windows 11,2.9,6,2024,Black
Dell,Alienware M15 R6,Intel i9,32,1000,NVIDIA RTX 3080,Gaming,2599,15.6,Windows 11,1.8,8,2024,Silver
ASUS,ROG Strix G15,AMD Ryzen 9,16,512,NVIDIA RTX 3070,Gaming,1799,15.6,Windows 11,1.1,15,2024,Black
HP,Spectre x360 13.5,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1599,13.5,Windows 11,2,7,2024,Black
Acer,Predator Triton 500,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1699,15.6,Windows 11,2,7,2024,Eclipse Gray
Lenovo,IdeaPad 5 15,Intel i5,8,512,Intel Iris Xe,Everyday Use,899,15.6,Windows 11,1.6,10,2024,Silver
Dell,XPS 15 9500,Intel i7,16,512,NVIDIA GTX 1650,Productivity,1799,15.6,Windows 11,1.7,9,2024,Black
MSI,GF63 Thin 10SCSR,Intel i5,8,512,NVIDIA GTX 1650,Gaming,999,15.6,Windows 11,1.8,7,2024,Black
HP,Omen 15,Intel i7,16,512,NVIDIA RTX 3070,Gaming,1799,15.6,Windows 11,1.8,6,2024,Black
ASUS,ZenBook Duo 14,Intel i7,16,512,Intel Iris Xe,Productivity,1699,14,Windows 11,2.1,21,2024,Space Gray
Apple,MacBook Pro 14 M1 Pro,Apple M1 Pro,16,512,Apple GPU,Professional Use,1999,14.2,macOS,1.8,8,2024,Transparent Silver
Lenovo,ThinkPad L15 Gen 1,Intel i5,8,256,Intel UHD,Budget,699,15.6,Windows 11,2.3,6,2024,Black
Dell,Inspiron 15 5000,Intel i5,8,512,Intel Iris Xe,Everyday Use,799,15.6,Windows 11,1.4,9,2024,Silver
ASUS,VivoBook Pro 15,AMD Ryzen 7,16,512,AMD Radeon Vega,Everyday Use,1099,15.6,Windows 11,1.7,8,2024,Abyss Blue
HP,Elite Dragonfly G2,Intel i7,16,512,Intel Iris Xe,Business,2199,13.3,Windows 11,2,7,2024,Black
Lenovo,Legion 5 Pro,AMD Ryzen 9,32,512,NVIDIA RTX 3070,Gaming,2199,16,Windows 11,2.3,7,2024,Eclipse Gray
Acer,Aspire 5,Intel i5,8,256,Intel UHD,Everyday Use,649,15.6,Windows 11,2.5,8,2024,Platinum Silver
MSI,Creator M16,Intel i7,16,512,NVIDIA RTX 3050,Content Creation,1599,16,Windows 11,2.4,6,2024,Phantom Black
Apple,MacBook Air M2,Apple M2,8,256,Apple GPU,Student Use,1099,13.6,macOS,1.8,7,2024,Silver
Lenovo,Yoga Slim 7i,Intel i7,16,512,Intel Iris Xe,Ultrabook,1399,14,Windows 11,1.9,8,2024,Black
HP,Pavilion 14,Intel i5,8,512,Intel Iris Xe,Everyday Use,749,14,Windows 11,2,7,2024,Black
MSI,GE66 Raider,Intel i9,32,1000,NVIDIA RTX 3080,Gaming,2899,15.6,Windows 11,2.2,12,2024,Silver
Lenovo,ThinkPad X13,Intel i5,8,256,Intel UHD,Business,899,13.3,Windows 11,1.5,11,2024,Black
Dell,Latitude 14 5000,Intel i5,8,512,Intel UHD,Business,799,14,Windows 11,1.7,8,2024,Starlight
ASUS,ZenBook 14,Intel i7,16,512,Intel Iris Xe,Ultrabook,1499,14,Windows 11,2,9,2024,Slate Grey
HP,Envy 15,Intel i7,16,512,NVIDIA GTX 1650,Productivity,1399,15.6,Windows 11,2.5,7,2024,Black
Lenovo,ThinkPad P15,Intel i9,32,1000,NVIDIA RTX 4000,Workstation,2599,15.6,Windows 11,1.3,9,2024,Nightfall Black
Dell,Precision 7560,Intel i7,16,512,NVIDIA RTX A2000,Workstation,2299,15.6,Windows 11,2,18,2024,Phantom Black
Acer,Nitro 7,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1699,15.6,Windows 11,1.3,12,2024,Black
HP,EliteBook 840 G8,Intel i7,16,512,Intel Iris Xe,Business,1899,14,Windows 11,1,13,2024,Transparent Silver
ASUS,TUF Gaming A15,AMD Ryzen 7,16,512,NVIDIA RTX 3060,Gaming,1599,15.6,Windows 11,2.3,11,2024,Black
Lenovo,IdeaPad 3 14,Intel i5,8,256,Intel UHD,Everyday Use,699,14,Windows 11,1.3,12,2024,Mica Silver
Dell,Inspiron 13 5000,Intel i5,8,256,Intel UHD,Everyday Use,699,13.3,Windows 11,1.7,7,2024,Black
Acer,Aspire 7,Intel i7,16,512,NVIDIA GTX 1650,Gaming,1199,15.6,Windows 11,1.5,8,2024,Cloud Grey
HP,Pavilion x360 14,Intel i5,8,512,Intel Iris Xe,Hybrid Use,849,14,Windows 11,1.4,6,2024,Lunar Gray
ASUS,VivoBook S14,Intel i7,8,512,Intel Iris Xe,Productivity,949,14,Windows 11,2,15,2024,Fortress Gray
MSI,GE75 Raider,Intel i9,32,1000,NVIDIA RTX 3070,Gaming/Workstation,2899,17.3,Windows 11,1.5,8,2024,Silver
Apple,MacBook Pro 13 M2,Apple M2,8,256,Apple GPU,Professional Use,1299,13.3,macOS,1.4,9,2024,Grape Purple
Lenovo,ThinkPad L14,Intel i7,16,512,Intel UHD,Business,999,14,Windows 11,1.4,15,2024,Platinum Silver
Dell,Latitude 13 5000,Intel i5,8,256,Intel UHD,Business,799,13.3,Windows 11,1.2,8,2024,Black
ASUS,ROG Strix G17,AMD Ryzen 9,16,512,NVIDIA RTX 3070,Gaming,1799,17.3,Windows 11,2.1,8,2024,Carbon Gray
Apple,MacBook Pro 16 M1 Pro,Apple M1 Pro,32,1000,Apple GPU,Professional Use,2499,16.2,macOS,2,7,2024,Silver
Dell,XPS 13 9305,Intel i7,16,512,Intel Iris Xe,Ultrabook,1399,13.4,Windows 11,1.3,9,2024,Eclipse Gray
Lenovo,Legion 7i,Intel i9,32,1000,NVIDIA RTX 3080,Gaming,2499,15.6,Windows 11,2.3,21,2024,Silver
HP,Spectre x360 14,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1599,14,Windows 11,2.4,8,2024,Silver
MSI,GS66 Stealth,Intel i9,32,1000,NVIDIA RTX 3080,Gaming,2599,15.6,Windows 11,2.3,12,2024,Platinum Silver
Lenovo,ThinkPad X1 Extreme Gen 4,Intel i9,32,1000,NVIDIA RTX 3060,Professional Use,2399,15.6,Windows 11,1.3,9,2024,Black
ASUS,ZenBook Flip 14,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1499,14,Windows 11,1.8,10,2024,Phantom Black
Apple,MacBook Air M2,Apple M2,8,256,Apple GPU,Student Use,999,13.6,macOS,2.7,10,2024,Pine Grey
HP,Omen 17,Intel i7,16,512,NVIDIA RTX 3070,Gaming,1999,17.3,Windows 11,2.2,7,2024,Black
ASUS,VivoBook Pro 14,AMD Ryzen 7,16,512,AMD Radeon Vega,Everyday Use,1099,14,Windows 11,1.4,18,2024,Nightfall Black
Dell,Latitude 14 5000,Intel i5,8,256,Intel UHD,Business,799,14,Windows 11,0.97,8,2024,Dark Side of the Moon
Lenovo,Yoga Slim 7i,Intel i7,16,512,Intel Iris Xe,Ultrabook,1399,14,Windows 11,1.8,10,2024,Platinum Grey
Acer,Nitro 5,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1599,15.6,Windows 11,1.8,8,2024,Carbon Gray
HP,Pavilion 14,Intel i5,8,512,Intel Iris Xe,Everyday Use,799,14,Windows 11,1.7,8,2024,Eclipse Gray
MSI,GE76 Raider,Intel i9,32,1000,NVIDIA RTX 3070,Gaming,2599,17.3,Windows 11,2,7,2024,Pure Silver
ASUS,TUF Gaming F15,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1499,15.6,Windows 11,2.3,11,2024,Black
Dell,Inspiron 14 5000,Intel i5,8,512,Intel UHD,Everyday Use,699,14,Windows 11,1.3,20,2024,Platinum Silver
Acer,Swift 3,Intel i5,8,512,Intel Iris Xe,Everyday Use,799,14,Windows 11,2.3,8,2024,Cloud Grey
Lenovo,IdeaPad 5 15,Intel i5,8,512,Intel Iris Xe,Everyday Use,899,15.6,Windows 11,1.2,7,2024,Eclipse Gray
HP,EliteBook 850 G8,Intel i7,16,512,Intel Iris Xe,Business,1799,15.6,Windows 11,1.3,8,2024,Black
ASUS,ZenBook 14,Intel i7,16,512,Intel Iris Xe,Ultrabook,1399,14,Windows 11,2.1,10,2024,Nightfall Black
MSI,Creator Z16,Intel i7,16,512,NVIDIA RTX 3060,Content Creation,1799,16,Windows 11,1.3,8,2024,Lunar Light
Lenovo,ThinkPad P1 Gen 3,Intel i9,32,1000,NVIDIA Quadro T1000,Workstation,2499,15.6,Windows 11,2.5,6,2024,Black
HP,Spectre x360 15,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1699,15.6,Windows 11,2.3,9,2024,Space Gray
ASUS,VivoBook S15,Intel i7,8,512,Intel Iris Xe,Everyday Use,999,15.6,Windows 11,1.5,20,2024,Phantom Black
Dell,XPS 13 9310,Intel i7,16,512,Intel Iris Xe,Ultrabook,1499,13.4,Windows 11,1.6,9,2024,Pine Grey
Acer,Aspire 7,Intel i7,16,512,NVIDIA GTX 1650,Gaming,1199,15.6,Windows 11,1.8,7,2024,Mist Green
Lenovo,ThinkPad T14s,Intel i7,16,512,Intel Iris Xe,Business,1699,14,Windows 11,1.6,8,2024,Platinum Silver
ASUS,ROG Flow Z13,Intel i7,16,512,NVIDIA RTX 3050,Gaming,1799,13.4,Windows 11,1.2,20,2024,Natural Silver
HP,Envy x360 13,Intel i5,8,512,Intel Iris Xe,Hybrid Use,999,13.3,Windows 11,1.6,10,2024,Eclipse Gray
Dell,Alienware m15,Intel i9,32,1000,NVIDIA RTX 3080,Gaming,2699,15.6,Windows 11,1,8,2024,Arctic Grey
Lenovo,Legion 5 Pro,AMD Ryzen 7,16,512,NVIDIA RTX 3070,Gaming,1599,16,Windows 11,2,7,2024,Black
Apple,MacBook Pro 14 M1 Pro,Apple M1 Pro,16,512,Apple GPU,Professional Use,1999,14.2,macOS,1.3,9,2024,Starlight
MSI,Stealth GS66,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1599,15.6,Windows 11,1.6,6,2024,Nightfall Black
ASUS,TUF Dash F15,Intel i7,16,512,NVIDIA RTX 3070,Gaming,1799,15.6,Windows 11,2.7,7,2024,Slate Grey
Dell,Inspiron 15 5000,Intel i5,8,256,Intel UHD,Everyday Use,749,15.6,Windows 11,2.5,10,2024,Black
Acer,Predator Helios 300,Intel i7,16,512,NVIDIA RTX 3070,Gaming,1799,15.6,Windows 11,2.2,8,2024,Silver
ASUS,ZenBook 13,Intel i7,8,512,Intel Iris Xe,Ultrabook,1299,13.3,Windows 11,1.3,12,2024,Phantom Black
Apple,MacBook Pro 13 M2,Apple M2,8,256,Apple GPU,Professional Use,1299,13.3,macOS,1.9,10,2024,Lunar Gray
HP,Omen 15,Intel i7,16,512,NVIDIA GTX 1660,Gaming,1599,15.6,Windows 11,2.3,6,2024,Transparent Silver
Dell,Inspiron 15 7000,Intel i7,16,512,Intel Iris Xe,Everyday Use,1499,15.6,Windows 11,1.3,18,2024,Black
Lenovo,ThinkPad X1 Carbon Gen 9,Intel i7,16,512,Intel Iris Xe,Business,1799,14,Windows 11,1.8,7,2024,Mica Silver
ASUS,TUF Gaming A15,AMD Ryzen 7,16,512,NVIDIA RTX 3060,Gaming,1599,15.6,Windows 11,1.4,8,2024,Black
MSI,GL66 Leopard,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1699,15.6,Windows 11,1.5,10,2024,Black
Lenovo,Legion 5,AMD Ryzen 9,32,1000,NVIDIA RTX 3070,Gaming,1899,15.6,Windows 11,1.7,20,2024,Space Gray
HP,Elite Dragonfly,Intel i7,16,512,Intel UHD,Business,2299,13.3,Windows 11,2.1,7,2024,Platinum Silver
Apple,MacBook Air M1,Apple M1,8,256,Apple GPU,Student Use,999,13.3,macOS,1.2,8,2024,Cloud Grey
Dell,XPS 13 9310,Intel i5,8,512,Intel Iris Xe,Ultrabook,1299,13.4,Windows 11,2.4,11,2024,Lunar Gray
ASUS,VivoBook 15,Intel i3,8,256,Intel UHD,Everyday Use,499,15.6,Windows 11,1.6,9,2024,Fortress Gray
HP,Pavilion 15,Intel i5,8,512,Intel Iris Xe,Everyday Use,799,15.6,Windows 11,1.6,10,2024,Steel Silver
Lenovo,IdeaPad 3 14,Intel i5,8,256,Intel UHD,Everyday Use,649,14,Windows 11,1.5,8,2024,Natural Silver
ASUS,ROG Zephyrus G14,AMD Ryzen 9,32,1000,NVIDIA RTX 3080,Gaming,2299,14,Windows 11,2.3,12,2024,Starlight
MSI,Creator 15,Intel i9,32,1000,NVIDIA RTX 3070,Content Creation,2399,15.6,Windows 11,2.1,9,2024,Slate Grey
Apple,MacBook Pro 16 M1 Max,Apple M1 Max,32,512,Apple GPU,Professional Use,2499,16.2,macOS,1.4,5,2024,Black
Dell,Alienware X17,Intel i9,32,1000,NVIDIA RTX 3080,Gaming,2999,17.3,Windows 11,1.1,6,2024,Black
HP,Spectre x360 13,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1599,13.3,Windows 11,1.4,8,2024,Platinum Silver
Acer,Swift 3,Intel i5,8,512,Intel Iris Xe,Everyday Use,799,14,Windows 11,1.1,18,2024,Space Gray
MSI,Stealth 15M,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1799,15.6,Windows 11,2,7,2024,Silver
ASUS,ZenBook Flip 15,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1499,15.6,Windows 11,2.3,8,2024,Black
Lenovo,Legion 7i,Intel i9,32,1000,NVIDIA RTX 3080,Gaming,2499,15.6,Windows 11,2.6,10,2024,Black
Apple,MacBook Air M2,Apple M2,16,512,Apple GPU,Student Use,1299,13.6,macOS,1.4,8,2024,Black
ASUS,TUF Dash F15,Intel i7,16,512,NVIDIA RTX 3070,Gaming,1799,15.6,Windows 11,1.5,9,2024,Silver
MSI,GE76 Raider,Intel i9,32,1000,NVIDIA RTX 3070,Gaming,2599,17.3,Windows 11,1.3,10,2024,Storm Grey
Lenovo,ThinkPad P1 Gen 4,Intel i9,32,1000,NVIDIA Quadro T1000,Workstation,2499,15.6,Windows 11,2.9,9,2024,Silver
Dell,XPS 13 9300,Intel i7,16,512,Intel Iris Xe,Ultrabook,1499,13.4,Windows 11,1.3,7,2024,Nightfall Blue
HP,EliteBook 850 G7,Intel i7,16,512,Intel Iris Xe,Business,1799,15.6,Windows 11,2,12,2024,Space Gray
ASUS,VivoBook S14,Intel i7,16,512,Intel Iris Xe,Everyday Use,999,14,Windows 11,2.5,6,2024,Transparent Silver
MSI,Creator Z16,Intel i7,16,512,NVIDIA RTX 3060,Content Creation,1799,16,Windows 11,2.5,20,2024,Platinum Grey
Lenovo,Yoga Slim 7i,Intel i7,16,512,Intel Iris Xe,Ultrabook,1399,14,Windows 11,2,9,2024,Carbon Gray
HP,Spectre x360 14,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1599,14,Windows 11,2,10,2024,Platinum Silver
ASUS,ROG Strix G17,AMD Ryzen 9,32,1000,NVIDIA RTX 3070,Gaming,2299,17.3,Windows 11,1.8,7,2024,Space Gray
Dell,Latitude 7420,Intel i7,16,512,Intel Iris Xe,Business,1799,14,Windows 11,2,8,2024,Shadow Black
Lenovo,ThinkPad X13,Intel i7,16,512,Intel Iris Xe,Business,1699,13.3,Windows 11,1.1,10,2024,Fortress Gray
HP,Pavilion x360,Intel i5,8,256,Intel UHD,Hybrid Use,699,14,Windows 11,2.7,10,2024,Phantom Black
ASUS,ZenBook Pro Duo 15,Intel i9,32,1000,NVIDIA RTX 3080,Professional Use,2699,15.6,Windows 11,1.9,12,2024,Lunar Light
Acer,Aspire 5,Intel i5,8,512,Intel Iris Xe,Everyday Use,649,15.6,Windows 11,2.2,15,2024,Starlight
MSI,GS66 Stealth,Intel i7,16,512,NVIDIA RTX 3070,Gaming,1999,15.6,Windows 11,1.8,6,2024,Black
Apple,MacBook Pro 14 M2,Apple M2,16,512,Apple GPU,Professional Use,1999,14,macOS,1.8,7,2024,Dragonfly Blue
ASUS,ZenBook 14,Intel i7,16,512,Intel Iris Xe,Ultrabook,1299,14,Windows 11,1.3,5,2024,Eclipse Grey
HP,Spectre x360 15,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1799,15.6,Windows 11,1.5,9,2024,Black
Dell,XPS 13 9310,Intel i5,8,256,Intel Iris Xe,Ultrabook,1199,13.4,Windows 11,1.2,12,2024,Silver
Lenovo,ThinkPad X1 Carbon Gen 9,Intel i7,16,512,Intel Iris Xe,Business,1799,14,Windows 11,2,18,2024,Space Gray
MSI,GF65 Thin,Intel i7,16,512,NVIDIA GTX 1660,Gaming,1299,15.6,Windows 11,1.2,6,2024,Pine Grey
Acer,Aspire 7,Intel i7,16,512,NVIDIA GTX 1650,Gaming,1199,15.6,Windows 11,1.7,10,2024,Iron Grey
ASUS,ROG Strix Scar 15,Intel i9,32,1000,NVIDIA RTX 3080,Gaming,2999,15.6,Windows 11,1.8,8,2024,Natural Silver
HP,Elite Dragonfly G2,Intel i7,16,512,Intel UHD,Business,2199,13.3,Windows 11,1.3,8,2024,Pure White
Lenovo,Legion 5 Pro,AMD Ryzen 7,16,512,NVIDIA RTX 3060,Gaming,1599,16,Windows 11,2,7,2024,Platinum Silver
Dell,Inspiron 14,Intel i5,8,512,Intel Iris Xe,Everyday Use,799,14,Windows 11,2.3,8,2024,Space Gray
Apple,MacBook Air 13 M2,Apple M2,8,256,Apple GPU,Student Use,1099,13.3,macOS,1.6,21,2024,Black
MSI,Stealth 15M,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1799,15.6,Windows 11,2,9,2024,Eclipse Grey
Lenovo,ThinkPad P1 Gen 4,Intel i7,16,512,NVIDIA Quadro,Workstation,2399,15.6,Windows 11,2.3,8,2024,Carbon Black
HP,Pavilion 14,Intel i5,8,512,Intel UHD,Everyday Use,649,14,Windows 11,2.5,10,2024,Silver
ASUS,ZenBook Duo 14,Intel i7,16,512,Intel Iris Xe,Professional Use,1799,14,Windows 11,1.4,6,2024,Platinum Silver
Apple,MacBook Pro 16 M1 Pro,Apple M1 Pro,16,512,Apple GPU,Professional Use,2399,16.2,macOS,1.8,8,2024,Phantom Black
Dell,XPS 17,Intel i9,32,1000,NVIDIA RTX 3060,Content Creation,2699,17.3,Windows 11,2.3,7,2024,Pine Grey
Lenovo,Yoga 9i,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1699,14,Windows 11,2.5,7,2024,Black
ASUS,TUF Dash F15,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1499,15.6,Windows 11,1.2,8,2024,Silver
HP,Spectre x360 13,Intel i5,8,512,Intel UHD,Hybrid Use,799,13.3,Windows 11,1.4,18,2024,Eclipse Black
Acer,Swift 5,Intel i7,16,512,Intel Iris Xe,Ultrabook,1499,14,Windows 11,1.8,9,2024,Black
MSI,GE66 Raider,Intel i9,32,1000,NVIDIA RTX 3080,Gaming,2799,15.6,Windows 11,1.3,12,2024,Eclipse Grey
